Pattern, Confidence-Frequence
Total number of input patterns: 29408
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,Vuota_T1_1'], ['QuasiVuota_T2_2']]], ['0.9492404994864587 - 17560']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_1,Vuota_T1_3,Vuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.949021932424422 - 3202']]
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_2']]], ['0.9483436853002071 - 9161']]
[[[['Vuota_T0_0,QuasiVuota_T0_3,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_3']]], ['0.9483257544439851 - 4588']]
[[[['Vuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3,Vuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.9479804926847568 - 7581']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,Vuota_T1_3,Vuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.9479744136460554 - 4446']]
[[[['QuasiVuota_T0_0'], ['Vuota_T1_2,Vuota_T1_3,Vuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.9479508196721311 - 4626']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_2,QuasiVuota_T1_3'], ['QuasiVuota_T2_2']]], ['0.9477115427550793 - 21224']]
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_3,Vuota_T0_3'], ['QuasiVuota_T1_3']]], ['0.9473838918283363 - 3223']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,Vuota_T0_2,Vuota_T0_1'], ['QuasiVuota_T1_2']]], ['0.9470370661839931 - 12034']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_2']]], ['0.9470024831500532 - 13348']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_3,Vuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.9469194312796209 - 2997']]
