TIME SLOT: extraction/30min Pattern, Confidence-Frequence
Total number of input patterns: 29371
[[[['Normal_T0_0,Normal_T0_3'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8145161290322581 - 303']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0,QuasiPiena_T1_3'], ['Normal_T2_0']]], ['0.8145161290322581 - 101']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_2,Normal_T0_1'], ['Normal_T1_0']]], ['0.8144796380090498 - 360']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Normal_T1_0,QuasiPiena_T1_2'], ['Normal_T2_0']]], ['0.813953488372093 - 245']]
[[[['QuasiPiena_T0_0,Normal_T0_2,Normal_T0_2,QuasiPiena_T0_2'], ['Normal_T1_2']]], ['0.8138020833333334 - 625']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0,Normal_T1_1'], ['Normal_T2_0']]], ['0.8132295719844358 - 209']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_2,Normal_T1_1'], ['Normal_T2_1']]], ['0.8131067961165048 - 335']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,Normal_T1_2,QuasiPiena_T1_1'], ['Normal_T2_2']]], ['0.8130841121495327 - 174']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,Normal_T1_2'], ['Normal_T2_2']]], ['0.8127208480565371 - 690']]
[[[['QuasiPiena_T0_0,Normal_T0_2'], ['Normal_T1_0,Normal_T1_1'], ['Normal_T2_1']]], ['0.8123324396782842 - 303']]
[[[['Normal_T0_0,Normal_T0_1'], ['QuasiPiena_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.812 - 203']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_3'], ['QuasiPiena_T2_2']]], ['0.8119266055045872 - 354']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Normal_T1_1'], ['Normal_T2_1']]], ['0.8118811881188119 - 328']]
[[[['QuasiPiena_T0_0,Normal_T0_1'], ['Normal_T1_2,Normal_T1_2'], ['Normal_T2_2']]], ['0.8114035087719298 - 185']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,QuasiPiena_T1_2'], ['Normal_T2_0']]], ['0.8113496932515337 - 529']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_1'], ['Normal_T2_1']]], ['0.8110047846889952 - 678']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_2'], ['QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.8109161793372319 - 832']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.8108108108108109 - 60']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Normal_T1_3'], ['Normal_T2_3']]], ['0.8106796116504854 - 334']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_3,QuasiPiena_T1_1'], ['Normal_T2_3']]], ['0.8106060606060606 - 214']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,Normal_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.8103448275862069 - 47']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_2,Normal_T1_1'], ['Normal_T2_0']]], ['0.8101851851851852 - 175']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_1,Normal_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.8099173553719008 - 98']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_1']]], ['0.8085106382978723 - 76']]
[[[['QuasiPiena_T0_0,Normal_T0_1'], ['Normal_T1_0,Normal_T1_1'], ['Normal_T2_1']]], ['0.8083832335329342 - 405']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Normal_T1_0,Normal_T1_1'], ['Normal_T2_0']]], ['0.8075 - 323']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8074074074074075 - 218']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8073022312373225 - 796']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Normal_T1_1'], ['Normal_T2_1']]], ['0.8068965517241379 - 234']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8068181818181818 - 568']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_2,Normal_T1_2,QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.8066465256797583 - 534']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0,QuasiPiena_T1_2'], ['Normal_T2_0']]], ['0.8066298342541437 - 146']]
[[[['Normal_T0_0'], ['Normal_T1_3,Normal_T1_3,QuasiPiena_T1_1'], ['Normal_T2_3']]], ['0.8064516129032258 - 75']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Normal_T1_0,Normal_T1_3'], ['Normal_T2_3']]], ['0.806 - 403']]
[[[['Normal_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['Normal_T1_3'], ['Normal_T2_3']]], ['0.8056872037914692 - 170']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_2,QuasiPiena_T1_3'], ['Normal_T2_2']]], ['0.8054187192118226 - 327']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0,Normal_T1_2'], ['Normal_T2_0']]], ['0.8045977011494253 - 140']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8045685279187818 - 317']]
[[[['QuasiPiena_T0_0,Normal_T0_2'], ['Normal_T1_0,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8045454545454546 - 708']]
[[[['Normal_T0_0,QuasiPiena_T0_3'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8044692737430168 - 288']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8038461538461539 - 209']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_3,Normal_T1_3'], ['Normal_T2_3']]], ['0.8036529680365296 - 176']]
[[[['QuasiPiena_T0_0,Normal_T0_1'], ['Normal_T1_0,QuasiPiena_T1_2'], ['Normal_T2_0']]], ['0.8035714285714286 - 315']]
[[[['Normal_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_2,Normal_T1_1'], ['Normal_T2_1']]], ['0.8035714285714286 - 315']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_1,Normal_T0_1'], ['Normal_T1_1']]], ['0.8035714285714286 - 90']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8033707865168539 - 286']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_1'], ['Normal_T1_0'], ['Normal_T2_0']]], ['0.8031914893617021 - 151']]
