Filtered Pattern, Confidence-Frequence
Total number of input patterns: 6322
[[[['QuasiPiena_T0_0'], ['Normal_T1_1'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7342402759149262 - 3832']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7341359773371104 - 5183']]
[[[['Normal_T0_0,Normal_T0_1'], ['QuasiPiena_T1_0,QuasiPiena_T1_3'], ['Normal_T2_0']]], ['0.7340020754064338 - 2122']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_1'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7327854286983563 - 3299']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_2,Normal_T0_3'], ['Normal_T1_0']]], ['0.7325761486835313 - 5676']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_2,Normal_T0_3'], ['Normal_T1_0']]], ['0.7320561941251597 - 5732']]
[[[['Normal_T0_0,Normal_T0_1,QuasiPiena_T0_3'], ['QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.731622746185853 - 2110']]
[[[['Normal_T0_0,Normal_T0_1'], ['QuasiPiena_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.7316017316017316 - 2197']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_2,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.7314814814814815 - 5530']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_3'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7312131919905771 - 3104']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_3'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7310278578290106 - 3044']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_1,Normal_T1_3'], ['Normal_T2_0']]], ['0.7308224868457491 - 2639']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Normal_T1_0'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7297491039426524 - 3054']]
[[[['Normal_T0_0,QuasiPiena_T0_3'], ['Normal_T1_0'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7295437165434616 - 2862']]
