Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3491
[[[['QuasiPiena_T0_2,Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['Piena_T1_0']]], ['0.6923076923076923 - 9']]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_0,QuasiPiena_T1_1'], ['QuasiPiena_T2_0']]], ['0.6918238993710691 - 110']]
[[[['QuasiPiena_T0_2,Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_0']]], ['0.6914893617021277 - 130']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0,QuasiPiena_T1_1'], ['QuasiPiena_T2_0']]], ['0.6912681912681913 - 2660']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_0,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6911764705882353 - 282']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_1,QuasiPiena_T1_1'], ['QuasiPiena_T2_0']]], ['0.6907849829351536 - 1012']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_0']]], ['0.6905982905982906 - 808']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6896551724137931 - 200']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6888888888888889 - 31']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_0,Piena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6885245901639344 - 42']]
[[[['QuasiPiena_T0_1,Piena_T0_0,Piena_T0_3'], ['Piena_T1_1'], ['QuasiPiena_T2_0']]], ['0.6875 - 33']]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_0']]], ['0.6875 - 22']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_0']]], ['0.6869565217391305 - 158']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1,Piena_T0_3'], ['QuasiPiena_T1_0']]], ['0.6867924528301886 - 182']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_1'], ['QuasiPiena_T2_0']]], ['0.6865671641791045 - 3082']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6865671641791045 - 46']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_0']]], ['0.6861036639857016 - 3071']]
[[[['Piena_T0_0'], ['Piena_T1_0,Piena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6857142857142857 - 24']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,Piena_T0_2,Piena_T0_3'], ['QuasiPiena_T1_0']]], ['0.6842105263157895 - 65']]
