TIME SLOT: slots Pattern, Confidence-Frequence
Total number of input patterns: 28786
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9766009852216748 - 793']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_0'], ['QuasiPiena_T2_2']]], ['0.9765625 - 500']]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9764705882352941 - 166']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.976401179941003 - 331']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9759519038076152 - 487']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2']]], ['0.9757575757575757 - 161']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9747899159663865 - 116']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9745762711864406 - 345']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_1'], ['Piena_T1_3'], ['QuasiPiena_T2_2']]], ['0.9743589743589743 - 76']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_2']]], ['0.974025974025974 - 75']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9733727810650887 - 329']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_3,Piena_T0_1'], ['QuasiPiena_T2_2']]], ['0.9733333333333334 - 73']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9731977818853974 - 1053']]
[[[['QuasiPiena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9731182795698925 - 362']]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.972972972972973 - 288']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9725714285714285 - 851']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,Piena_T0_1,Piena_T0_1'], ['QuasiPiena_T1_3']]], ['0.9722222222222222 - 35']]
[[[['QuasiPiena_T0_2,Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_2']]], ['0.9722222222222222 - 35']]
[[[['QuasiPiena_T0_2,Piena_T0_0,Piena_T0_3,Piena_T0_3'], ['Piena_T1_3']]], ['0.9722222222222222 - 35']]
