Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3528
[[[['QuasiVuota_T0_0'], ['Normal_T1_2,QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.661038628805321 - 10336']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['Normal_T1_2,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6608296717498061 - 10227']]
[[[['Normal_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6607097104791186 - 10315']]
[[[['Normal_T0_0,Normal_T0_2'], ['QuasiVuota_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6604157887343728 - 9403']]
[[[['Normal_T0_0,Normal_T0_1'], ['Normal_T1_2,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6602799293382253 - 9718']]
[[[['Normal_T0_0,QuasiVuota_T0_0,QuasiVuota_T0_1'], ['Normal_T1_0']]], ['0.6598215245672508 - 24548']]
[[[['Normal_T0_0,QuasiVuota_T0_2'], ['Normal_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6597578493741022 - 9645']]
[[[['Normal_T0_0'], ['QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6596065614983345 - 10495']]
[[[['Normal_T0_0,QuasiVuota_T0_2'], ['QuasiVuota_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6594934029492697 - 9347']]
[[[['Normal_T0_0,QuasiVuota_T0_0,Normal_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.659161806591618 - 9720']]
[[[['QuasiVuota_T0_0,Normal_T0_1,QuasiVuota_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6590818996273686 - 8313']]
[[[['Normal_T0_0'], ['Normal_T1_2,Normal_T1_2,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6589779722613661 - 8885']]
[[[['QuasiVuota_T0_0,Normal_T0_2,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['Normal_T1_0']]], ['0.6588693957115009 - 8450']]
[[[['Normal_T0_0,Normal_T0_3,Normal_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6587532770171861 - 4523']]
[[[['Normal_T0_0,Normal_T0_2'], ['Normal_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6586639538826721 - 9712']]
[[[['QuasiVuota_T0_0,Normal_T0_3'], ['QuasiVuota_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6586419259377749 - 8235']]
[[[['Normal_T0_0,QuasiVuota_T0_1'], ['Normal_T1_2,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6585949791367398 - 9628']]
[[[['QuasiVuota_T0_0,Normal_T0_3'], ['Normal_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.658440352777348 - 8511']]
[[[['QuasiVuota_T0_0,Normal_T0_2'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6583164983164983 - 9776']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1'], ['QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6582993410731095 - 8392']]
[[[['Normal_T0_0,Normal_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6580200501253133 - 10502']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2'], ['QuasiVuota_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.6575386806499643 - 10157']]
[[[['QuasiVuota_T0_0,Normal_T0_3'], ['Normal_T1_2,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6573109136244486 - 10281']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,QuasiVuota_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6572833240821505 - 8289']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_0,Normal_T1_3,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6572831220482227 - 10577']]
[[[['Normal_T0_0,QuasiVuota_T0_1'], ['QuasiVuota_T1_2,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6570911873130695 - 9447']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6569850552306693 - 10111']]
[[[['Normal_T0_0,Normal_T0_1'], ['QuasiVuota_T1_2,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6569139672587948 - 9430']]
[[[['Normal_T0_0'], ['Normal_T1_1,QuasiVuota_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6568458644219118 - 10300']]
[[[['QuasiVuota_T0_0,Normal_T0_3'], ['QuasiVuota_T1_2,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6566402929444844 - 10042']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3'], ['QuasiVuota_T1_0,QuasiVuota_T1_3'], ['Normal_T2_0']]], ['0.6559745509974153 - 9898']]
[[[['Normal_T0_0,Normal_T0_1'], ['QuasiVuota_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6559047209068734 - 9142']]
[[[['QuasiVuota_T0_0'], ['Normal_T1_1,Normal_T1_1,QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6556056701030928 - 8140']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Normal_T0_3,Normal_T0_3'], ['Normal_T1_0']]], ['0.65556640625 - 6713']]
[[[['QuasiVuota_T0_0,Normal_T0_2,QuasiVuota_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.6546856620049667 - 10018']]
[[[['QuasiVuota_T0_0,Normal_T0_1,Normal_T0_3'], ['QuasiVuota_T1_0'], ['Normal_T2_0']]], ['0.654487379245871 - 8401']]
