Pattern, Confidence-Frequence
Total number of input patterns: 29408
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.9619305179945912 - 18496']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.9612889366272825 - 22374']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_2,Vuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.9611746361746362 - 18493']]
[[[['Vuota_T0_0,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_1'], ['QuasiVuota_T2_1']]], ['0.9610837953760853 - 9187']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_3']]], ['0.9607216627937 - 29767']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_2,Vuota_T1_2,Vuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.960696852381754 - 11415']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_2'], ['QuasiVuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.9606411242904224 - 66168']]
[[[['QuasiVuota_T0_0'], ['QuasiVuota_T1_2,QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.9606282271944923 - 22325']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Vuota_T1_3'], ['QuasiVuota_T2_2']]], ['0.9603684661525278 - 4483']]
[[[['Vuota_T0_0,Vuota_T0_2,Vuota_T0_2,Vuota_T0_3'], ['QuasiVuota_T1_2']]], ['0.9602607232968882 - 4567']]
[[[['Vuota_T0_0,Vuota_T0_1,Vuota_T0_1,Vuota_T0_3'], ['QuasiVuota_T1_1']]], ['0.9602253894597282 - 2897']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_1,Vuota_T1_1,Vuota_T1_1'], ['QuasiVuota_T2_1']]], ['0.9601769911504425 - 8897']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_1,Vuota_T0_1,Vuota_T0_1'], ['QuasiVuota_T1_1']]], ['0.9594282784258429 - 14969']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.9593774147256872 - 8691']]
[[[['QuasiVuota_T0_3,Vuota_T0_0,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.9591145833333333 - 7366']]
[[[['QuasiVuota_T0_3,Vuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.9590599455040872 - 14079']]
[[[['QuasiVuota_T0_0,QuasiVuota_T0_2,QuasiVuota_T0_3,QuasiVuota_T0_3'], ['QuasiVuota_T1_3']]], ['0.9589677969716357 - 22483']]
[[[['Vuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.9588969139855549 - 14604']]
[[[['Vuota_T0_0,Vuota_T0_3'], ['Vuota_T1_2,Vuota_T1_2'], ['QuasiVuota_T2_2']]], ['0.9587348135735233 - 4577']]
[[[['QuasiVuota_T0_2,Vuota_T0_0'], ['QuasiVuota_T1_3,QuasiVuota_T1_3'], ['QuasiVuota_T2_3']]], ['0.9586374695863747 - 11820']]
[[[['QuasiVuota_T0_1,Vuota_T0_0,Vuota_T0_2,Vuota_T0_2'], ['QuasiVuota_T1_2']]], ['0.9585218702865762 - 8897']]
